,count,mean,std,min,25%,50%,75%,max,asimetria,curtosis,faltantes_n,faltantes_pct
id,608.0,336.39144736842104,191.44737378292612,1.0,171.75,346.5,500.25,662.0,-0.05672600098649662,-1.199153669101208,0,0.0
peso_ini_gest,600.0,67.34733333333334,14.56302724343548,38.0,56.925,64.0,75.0,142.0,1.1689927453522861,2.0504112188329486,8,1.3157894736842104
peso_fin_gest,557.0,79.07935368043087,15.38489358626365,46.0,69.0,77.0,88.0,148.0,0.9516790191532584,1.6185938660370578,51,8.388157894736842
aumento_peso_gest,556.0,11.5,5.875013513497972,-12.0,8.3,11.0,14.2,38.7,0.6318058187743002,2.7974509792011912,52,8.552631578947368
talla,605.0,163.45371900826447,6.52170397484296,144.0,159.0,163.0,168.0,192.0,0.15876342423347686,0.7579780074769147,3,0.4934210526315789
imc_ini_gest,599.0,25.19659432387312,5.204295700010231,16.89,21.455,24.2,28.025,53.42,1.2508729813919433,2.43934729192662,9,1.4802631578947367
edad_materna_gest,608.0,35.52,4.766675645049397,17.18,32.5525,35.58,38.97,49.04,-0.24989733943314837,0.19840335344194582,0,0.0
tas_1tri,524.0,114.53625954198473,12.537691630138008,82.0,105.0,115.0,123.0,165.0,0.23638919473592676,0.1798526732288721,84,13.815789473684212
tad_1tri,524.0,73.21946564885496,9.187630042303011,39.0,67.0,73.0,79.0,109.0,0.22245102826401675,0.725936005110952,84,13.815789473684212
eg_eco_1tri,538.0,13.066542750929369,4.128196581993671,9.3,12.3,12.8,13.2,96.9,16.790042322442048,323.9489339411666,70,11.513157894736842
eg_parto,604.0,38.66506622516557,3.165630335097976,1.0,37.8,39.2,40.3,42.9,-5.067630638601181,45.26816941877641,4,0.6578947368421052
peso_rn,600.0,3034.5816666666665,649.172137498262,800.0,2670.0,3095.0,3460.0,4640.0,-0.682116034624943,0.8627425242489539,8,1.3157894736842104
apgar_1min,599.0,8.746243739565942,1.0799394944760268,1.0,9.0,9.0,9.0,10.0,-3.878262701369123,18.09215111756699,9,1.4802631578947367
apgar_5min,599.0,9.784641068447412,0.716759124012881,1.0,10.0,10.0,10.0,10.0,-5.6433659033908,47.11613056265629,9,1.4802631578947367
apgar_10min,598.0,9.909698996655518,0.345159749433226,7.0,10.0,10.0,10.0,10.0,-4.344310618201928,21.075542751767536,10,1.644736842105263
edad_actual,586.0,40.668412969283274,4.774135017920606,22.26,37.4075,40.695,44.167500000000004,54.61,-0.2536023435602378,0.2544774388793378,22,3.618421052631579
peso_actual,583.0,71.47222984562607,15.782433060242393,42.6,60.650000000000006,68.2,79.69999999999999,141.4,1.0869870599564062,1.4277695593605233,25,4.111842105263158
imc_actual,582.0,26.709278350515465,5.656071615710272,17.28,22.4575,25.21,29.885,49.64,0.984173649528932,0.8530706162468249,26,4.276315789473684
superf_corporal,576.0,1.8200754537098633,0.31079212926310285,1.38322443188534,1.65,1.75581936210268,1.9045486224755401,4.25,3.155386218419841,15.033835053634865,32,5.263157894736842
num_partos_mayor37_post,550.0,1.6981818181818182,0.7513172182975373,1.0,1.0,2.0,2.0,6.0,1.386814273442744,3.7711821904197893,58,9.539473684210527
tiempo_lactancia,534.0,31.573220973782767,24.95859712541758,0.1,12.0,29.5,42.0,216.0,1.9715906659485785,8.634847217899729,74,12.171052631578947
grasa_corporal,575.0,36.73377391304348,8.730609207065449,15.0,30.0,36.3,43.45,59.9,0.0051775430055589385,-0.5716361145817488,33,5.427631578947369
grasa_visceral,575.0,6.862608695652174,3.929635035264371,1.0,5.0,6.0,8.0,56.6,5.738828389503929,57.850985272946374,33,5.427631578947369
basal_metabolic_rate,575.0,1433.1582608695653,174.8318684534811,1111.0,1311.0,1401.0,1523.0,2235.0,1.0797745527486764,1.7835067441026653,33,5.427631578947369
musculo,575.0,27.022260869565216,4.448022514244865,4.0,24.4,27.0,29.55,56.6,0.3817268743949761,8.702684484744363,33,5.427631578947369
perim_cintura,579.0,86.32297063903282,12.71871659066548,44.0,78.0,84.0,93.0,140.0,0.7724662292505288,1.2787673632026548,29,4.769736842105264
perim_cadera,579.0,100.59067357512953,12.604030060538767,45.0,92.0,100.0,108.0,167.0,0.7314928228523545,2.9982689655293226,29,4.769736842105264
ratio_cintura_cadera,579.0,0.8616591917022762,0.10307702544579363,0.463157894736842,0.8021405677655675,0.853211009174311,0.909090909090909,1.55555555555555,1.1667720045650565,5.456506992705453,29,4.769736842105264
diam_telediastolico,505.0,45.05346534653465,5.301534001506928,27.0,42.0,45.0,48.0,97.0,1.8295402392185778,17.871503961429422,103,16.940789473684212
dtdvi_indexado,498.0,25.178755020080324,3.4884544922777847,11.49,23.4175,25.475,27.22,35.14,-0.833635860873482,2.0430425604620024,110,18.092105263157894
diam_telesistolico,501.0,30.589221556886226,14.51391482656607,3.5,27.0,29.0,33.0,337.0,18.886181487224395,399.1237058281238,107,17.598684210526315
dtsvi_indexado,494.0,17.139068825910933,8.811603401561465,2.27,15.067499999999999,16.865000000000002,18.755,200.39,18.282847569825517,381.1181872695019,114,18.75
septo_iv_diastole,505.0,9.425940594059405,9.279229897812854,1.0,7.0,8.0,9.5,96.0,8.029443166595474,65.95675116655002,103,16.940789473684212
pared_posterior_vi_diastole,505.0,8.533465346534653,8.187401330514575,3.9,6.7,7.5,8.6,95.0,8.187979067316931,69.6945073118772,103,16.940789473684212
masa_vi_tdiast_indexada,492.0,66.06109756097561,17.242886842243486,7.0,54.0,64.0,76.0,145.1,0.7860669145942321,1.6846530433121503,116,19.078947368421055
ai_volumen,497.0,38.00657947686117,13.657210327207899,13.0,28.0,36.0,44.0,92.6,1.0609136702276611,1.5816223094060469,111,18.25657894736842
tapse,502.0,25.943625498007968,16.748309093404348,2.5,21.8,24.6,27.75,290.0,12.423576500215592,170.5276257161306,106,17.434210526315788
onda_s_anillo_tricuspideo,491.0,13.465885947046843,2.309015643972174,3.0,12.0,13.3,14.8,25.0,0.42433697117751545,3.751064738444918,117,19.24342105263158
e_mitral_lateral,505.0,14.465861386138615,4.927434586854726,5.0,12.3,14.2,16.3,85.0,7.695378102314214,100.78010379810564,103,16.940789473684212
e_mitral_medial,505.0,11.321544554455446,6.695206173439038,4.0,9.1,10.6,12.3,88.0,9.152751409406166,96.6201129942734,103,16.940789473684212
vol_telediastolico_vi,500.0,95.95920000000001,26.463649499827103,15.6,77.0,92.8,110.625,204.2,0.6189573571658044,0.729122411147892,108,17.763157894736842
vol_telediastolico_vi_indexado,493.0,53.32036511156186,14.05247064281707,7.91,43.69,52.85,61.83,104.42,0.18454680008591637,0.36607080232730027,115,18.914473684210524
vol_telesistolico_vi,501.0,34.24704590818363,13.140312783792028,12.5,25.3,31.1,40.1,112.4,1.6208873471615244,4.701763790661946,107,17.598684210526315
vol_telesistolico_vi_indexado,494.0,19.007995951417005,7.2025086225843165,4.87,14.585,17.835,22.105,60.27,1.5375922084848967,4.395523995823771,114,18.75
fevi_simpson_4c,499.0,64.61082164328657,7.837234980194971,26.4,59.0,64.6,70.0,85.1,-0.4041974848935928,1.7277494142057201,109,17.927631578947366
ta_sistolica,578.0,115.74221453287197,15.319395051961264,82.0,105.0,115.0,125.0,187.0,0.9848089443873874,2.0780768313429365,30,4.934210526315789
ta_diastolica,578.0,75.28373702422145,10.071793164720352,41.0,68.0,75.0,82.0,118.0,0.4291200721066208,1.4758980172349614,30,4.934210526315789
frec_cardiaca,578.0,79.16608996539793,11.828940757784034,41.0,71.0,78.0,87.0,119.0,0.20114689244017053,0.09073213276193526,30,4.934210526315789
right_1peak_systolic_velocity,579.0,31.0705872193437,8.85341003256654,8.28,25.0,31.2,36.95,60.7,0.25981207615894913,0.09991949013437962,29,4.769736842105264
right_2peak_systolic_velocity,579.0,21.783851468048358,7.11339434343173,5.73,16.35,21.2,26.25,48.3,0.5348078671385128,0.3440103244202506,29,4.769736842105264
right_pulsatility_index,579.0,1.7661658031088086,0.44343751599662296,0.47,1.5,1.73,1.995,4.57,0.6579554478654355,3.0186428134174568,29,4.769736842105264
